,CBSA Code,Census Population,CBSA Title,Population,Age Adjusted Accidental Death Rate per 100000,Year,Smoking rate,Binge drinking rate,"Property crime rate per 100,000","Violent crime rate per 100,000"
249,35620.0,20320876,"New York-Newark-Jersey City, NY-NJ-PA",350505486.0,24.4,,,,1335.6,332.9
210,31080.0,13353907,"Los Angeles-Long Beach-Anaheim, CA",230389970.0,22.9,2017.0,11.74,16.8,2350.3,496.7
68,16980.0,9533895,"Chicago-Naperville-Elgin, IL-IN-WI",168325749.0,29.5,2017.0,13.6,19.88,,
86,19100.0,7400479,"Dallas-Fort Worth-Arlington, TX",110544476.0,33.7,,,,,
159,26420.0,6892427,"Houston-The Woodlands-Sugar Land, TX",101331417.0,38.3,2017.0,15.07,18.79,,
363,47900.0,6216710,"Washington-Arlington-Alexandria, DC-VA-MD-WV",98382207.0,26.3,,,,1745.4,273.4
225,33100.0,6158824,"Miami-Fort Lauderdale-Pompano Beach, FL",98965609.0,34.8,2017.0,13.59,15.61,,
269,37980.0,6096120,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",106004908.0,40.1,,,,2055.6,428.7
17,12060.0,5882450,"Atlanta-Sandy Springs-Alpharetta, GA",90449335.0,38.0,2017.0,14.93,13.61,,
42,14460.0,4836531,"Boston-Cambridge-Newton, MA-NH",81601562.0,28.5,,,,1308.5,305.3
270,38060.0,4737270,"Phoenix-Mesa-Chandler, AZ",71259632.0,45.0,2017.0,14.84,15.98,,
310,41860.0,4727357,"San Francisco-Oakland-Berkeley, CA",77464278.0,26.2,2011.0,11.71,20.85,,
290,40140.0,4580670,"Riverside-San Bernardino-Ontario, CA",71562879.0,31.5,2017.0,11.06,19.33,2489.8,383.3
97,19820.0,4313002,"Detroit-Warren-Dearborn, MI",78654041.0,34.4,,,,1945.5,544.0
319,42660.0,3867046,"Seattle-Tacoma-Bellevue, WA",60389605.0,34.5,,,,,
230,33460.0,3600618,"Minneapolis-St. Paul-Bloomington, MN-WI",59060084.0,36.6,2017.0,13.21,20.48,2405.5,283.0
309,41740.0,3337685,"San Diego-Chula Vista-Carlsbad, CA",54665674.0,30.1,2012.0,10.57,19.0,,
341,45300.0,3091399,"Tampa-St. Petersburg-Clearwater, FL",48653674.0,50.2,2017.0,18.39,16.5,2101.6,333.1
95,19740.0,2888227,"Denver-Aurora-Lakewood, CO",44331118.0,44.0,2017.0,13.76,20.62,,
23,12580.0,2808175,"Baltimore-Columbia-Towson, MD",48206323.0,27.3,2017.0,15.42,17.11,2732.9,782.5
302,41180.0,2807216,"St. Louis, MO-IL",49541012.0,45.4,2017.0,19.35,21.22,,
64,16740.0,2525305,"Charlotte-Concord-Gastonia, NC-SC",37458020.0,41.8,2017.0,14.57,17.86,2800.4,416.2
260,36740.0,2509831,"Orlando-Kissimmee-Sanford, FL",36598657.0,38.4,2017.0,12.87,13.77,2774.0,443.8
308,41700.0,2473974,"San Antonio-New Braunfels, TX",36635907.0,40.3,2017.0,17.87,19.16,,
276,38900.0,2451560,"Portland-Vancouver-Hillsboro, OR-WA",38802305.0,36.1,2017.0,14.61,16.51,,
272,38300.0,2333367,"Pittsburgh, PA",42786147.0,44.6,2017.0,21.26,19.38,1573.1,278.2
297,40900.0,2324884,"Sacramento-Roseville-Folsom, CA",37285686.0,34.4,2017.0,9.45,17.63,,
197,29820.0,2204079,"Las Vegas-Henderson-Paradise, NV",32448616.0,40.6,2012.0,16.98,13.78,2779.2,607.9
70,17140.0,2180746,"Cincinnati, OH-KY-IN",37467088.0,44.2,2017.0,23.49,21.44,2440.8,264.9
180,28140.0,2126945,"Kansas City, MO-KS",35220967.0,37.8,2017.0,17.05,20.68,,
21,12420.0,2115827,"Austin-Round Rock-Georgetown, TX",28983975.0,39.6,2017.0,12.49,22.93,,
81,18140.0,2078725,"Columbus, OH",33290879.0,38.4,2017.0,20.31,20.06,2865.6,290.7
73,17460.0,2058844,"Cleveland-Elyria, OH",37752896.0,33.8,2017.0,21.89,21.93,,
163,26900.0,2027059,"Indianapolis-Carmel-Anderson, IN",32939176.0,36.1,2017.0,19.37,17.13,2882.4,694.5
311,41940.0,1998463,"San Jose-Sunnyvale-Santa Clara, CA",32640337.0,23.3,2016.0,5.89,11.76,2275.1,308.8
245,34980.0,1904226,"Nashville-Davidson--Murfreesboro--Franklin, TN",28789534.0,49.7,2017.0,15.9,14.5,,
358,47260.0,1724388,"Virginia Beach-Norfolk-Newport News, VA-NC",29854379.0,32.9,2017.0,16.21,19.01,2633.7,330.8
279,39300.0,1621122,"Providence-Warwick, RI-MA",28872395.0,36.6,2017.0,15.32,17.24,1691.5,294.9
229,33340.0,1576236,"Milwaukee-Waukesha, WI",27701147.0,46.8,2017.0,14.49,21.03,,
169,27260.0,1504980,"Jacksonville, FL",23292157.0,47.0,2017.0,18.41,17.34,2777.6,480.8
257,36420.0,1383737,"Oklahoma City, OK",21907918.0,49.5,2017.0,17.13,14.72,2897.9,498.4
223,32820.0,1346626,"Memphis, TN-MS-AR",23240503.0,46.7,2017.0,20.07,12.12,4228.7,1168.3
284,39580.0,1335079,"Raleigh-Cary, NC",18726744.0,34.8,2016.0,12.46,15.75,,
289,40060.0,1301540,"Richmond, VA",21046257.0,38.1,2017.0,17.35,18.57,,
211,31140.0,1293722,"Louisville/Jefferson County, KY-IN",21656473.0,44.5,2017.0,22.66,15.61,3094.7,417.7
248,35380.0,1275762,"New Orleans-Metairie, LA",22599954.0,50.6,2017.0,21.72,19.52,2948.1,564.0
151,25540.0,1210259,"Hartford-East Hartford-Middletown, CT",21461428.0,35.9,2017.0,11.04,13.99,,
306,41620.0,1203105,"Salt Lake City, UT",18889750.0,38.2,2017.0,10.38,15.71,4434.6,400.6
35,13820.0,1149807,"Birmingham-Hoover, AL",19871028.0,52.7,2017.0,19.7,12.14,,
49,15380.0,1136856,"Buffalo-Cheektowaga, NY",20634485.0,28.1,2017.0,20.38,26.45,,
293,40380.0,1077948,"Rochester, NY",19345310.0,28.6,2017.0,17.26,15.52,1927.9,283.0
137,24340.0,1059113,"Grand Rapids-Kentwood, MI",17699673.0,38.3,2017.0,14.49,19.88,,
348,46060.0,1022769,"Tucson, AZ",16938659.0,48.8,2012.0,16.41,17.47,3928.2,499.0
349,46140.0,990773,"Tulsa, OK",16478278.0,52.9,2017.0,19.95,14.71,3431.4,565.7
127,23420.0,989255,"Fresno, CA",16109944.0,41.9,,,,3087.3,582.3
352,46520.0,988650,"Urban Honolulu, HI",16832407.0,29.0,2012.0,14.04,17.44,2774.4,246.4
46,14860.0,949921,"Bridgeport-Stamford-Norwalk, CT",16394845.0,29.7,2012.0,13.18,19.46,1446.2,246.9
